url,reward1,2digit,3digit_1,3digit_2,3digit_3,3digit_4,reward2_1,reward2_2,reward2_3,reward2_4,reward2_5,reward3_1,reward3_2,reward3_3,reward3_4,reward3_5,reward3_6,reward3_7,reward3_8,reward3_9,reward3_10
https://www.lottery.co.th/lotto/1-09-63,999997,98,725,636,957,342,071298,283972,301191,622808,838934,183523,304732,310680,454913,669274,757539,777521,797960,810362,895221
https://www.lottery.co.th/lotto/16-08-63,945811,88,712,614,364,733,076190,290322,324730,414322,500896,025918,149654,155863,541281,583811,736329,858011,858319,885671,907940
https://www.lottery.co.th/lotto/1-08-63,569391,92,931,575,578,809,101633,512010,544525,769799,849581,030131,036873,085905,118907,136551,308143,403720,745312,777509,810800
https://www.lottery.co.th/lotto/16-07-63,873286,53,510,533,682,494,265514,741212,906944,922280,948458,073630,143752,173669,330820,473357,792949,845538,857511,861354,898120
https://www.lottery.co.th/lotto/1-07-63,347258,83,362,095,307,094,059367,165108,443218,521355,782552,030000,035010,167559,408333,458572,569662,699988,729594,758112,820265
https://www.lottery.co.th/lotto/16-06-63,516967,64,876,882,625,565,271010,292976,306962,717506,882952,134728,216930,328213,407422,436474,494318,542338,613509,795757,938138
https://www.lottery.co.th/lotto/1-06-63,831567,24,489,264,562,582,275286,318041,506560,625456,796102,234855,251188,257496,457553,515788,606161,666644,711491,956876,973272
https://www.lottery.co.th/lotto/1-04-63,051095,22,430,285,191,364,146823,292621,321242,780132,863712,050269,112075,118779,363077,421363,563533,595293,794058,935047,993767
https://www.lottery.co.th/lotto/16-03-63,503446,77,726,258,661,404,156175,577151,759179,763348,849691,198725,220592,355831,386486,514970,566251,593611,652021,783590,819863
https://www.lottery.co.th/lotto/1-03-63,875938,98,294,328,597,780,060416,493313,520618,534604,876474,014656,120115,134908,271109,283043,581228,601360,769895,836387,858575
https://www.lottery.co.th/lotto/16-02-63,781403,94,515,952,030,918,031350,186877,236727,320101,624778,095797,096409,114645,163530,215618,278606,468941,788719,880226,957558
https://www.lottery.co.th/lotto/1-02-63,589227,06,259,552,927,375,041656,102110,574473,679758,912367,088398,106269,126524,406371,567239,669498,694807,728615,728829,974847
https://www.lottery.co.th/lotto/16-12-62,529924,97,138,043,555,665,023945,270487,423855,440909,945659,132697,218711,290056,327673,460486,533651,624585,922510,925924,978094
https://www.lottery.co.th/lotto/1-12-62,453522,81,617,261,457,013,237087,378027,398640,505169,516117,038046,146155,180619,213700,285060,534143,768028,786648,935700,956356
https://www.lottery.co.th/lotto/16-11-62,017223,32,164,640,085,194,027192,589816,778298,848878,902680,009089,048948,159068,207548,327577,689685,841062,873903,909459,956379
https://www.lottery.co.th/lotto/1-11-62,967375,79,323,806,021,206,036499,128709,137339,334547,549203,262102,488298,541186,743402,828766,888178,941960,947887,971220,974841
https://www.lottery.co.th/lotto/16-10-62,812564,15,255,625,598,132,010810,389324,422672,685097,872569,184912,310103,400722,482422,498877,509278,588913,634449,792849,867144
